               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11722,             0.04968,             0.03006,           0.0067633,             0.19801,           0.0044199,          0.00092834,              0.1124,            0.050134,            0.029436,              0.0005,              0.0005,              0.0955
                   1,             0.10809,            0.053305,            0.027994,            0.016337,             0.19555,            0.011777,           0.0023948,            0.097419,            0.056377,            0.025933,           0.0010782,           0.0010782,            0.090078
                   2,            0.089854,             0.05941,            0.023574,            0.060248,              0.2949,            0.051478,            0.011712,            0.081832,            0.059219,            0.021476,           0.0016327,           0.0016327,            0.084633
                   3,            0.083097,            0.059764,            0.021439,             0.16813,             0.42727,             0.16754,            0.044796,            0.076677,            0.053987,            0.017088,           0.0021634,           0.0021634,            0.079163
                   4,            0.076217,            0.056567,            0.016742,             0.66489,             0.22849,             0.15948,            0.042209,            0.073434,            0.046797,            0.013932,           0.0026703,           0.0026703,             0.07367
                   5,            0.071248,            0.051981,            0.014738,             0.67209,             0.20833,             0.17622,            0.058179,            0.073753,            0.053261,            0.012282,           0.0031535,           0.0031535,            0.068154
                   6,            0.069451,            0.046001,            0.013279,             0.67222,             0.27554,             0.19474,            0.052267,            0.070131,            0.049122,            0.011327,           0.0036129,           0.0036129,            0.062613
                   7,            0.071582,            0.040198,            0.011387,             0.72199,             0.31989,             0.28137,            0.092093,            0.081017,            0.045064,            0.010859,           0.0040486,           0.0040486,            0.057049
                   8,            0.078143,            0.035257,            0.013216,             0.73204,              0.1828,              0.2151,            0.067389,            0.089042,            0.037447,            0.010543,           0.0044605,           0.0044605,             0.05146
                   9,            0.082971,            0.031484,            0.011552,             0.74847,             0.16532,             0.22496,            0.056869,            0.096097,             0.02979,            0.010182,           0.0048486,           0.0048486,            0.045849
                  10,            0.088885,            0.031141,             0.01174,             0.67609,             0.20296,              0.1531,            0.042945,            0.089911,            0.027801,            0.010059,            0.005213,            0.005213,            0.040213
                  11,             0.08233,            0.033529,            0.011581,             0.78375,             0.36962,             0.36753,             0.14226,            0.077918,            0.029784,            0.010237,           0.0055536,           0.0055536,            0.034554
                  12,            0.071517,            0.035469,            0.011838,             0.44152,             0.39706,             0.26979,            0.075704,            0.076357,            0.030952,            0.010668,           0.0058705,           0.0058705,             0.02887
                  13,            0.066458,            0.035931,            0.011388,             0.73791,              0.1922,             0.24144,            0.061506,            0.085851,            0.028661,            0.009718,           0.0061636,           0.0061636,            0.023164
                  14,            0.082059,            0.030286,            0.011002,             0.15255,             0.59003,             0.20417,            0.055452,            0.087935,             0.02916,            0.009643,           0.0064329,           0.0064329,            0.017433
                  15,            0.077266,            0.031341,            0.010836,             0.62728,             0.21909,             0.13837,            0.031427,            0.081513,            0.030645,           0.0093284,           0.0066785,           0.0066785,            0.011678
                  16,            0.073685,            0.032901,            0.010264,             0.67037,              0.3265,             0.24758,            0.068998,            0.070108,            0.029295,           0.0091539,            0.006832,            0.006832,            0.006832
                  17,             0.05974,            0.035262,            0.010776,             0.73552,             0.31957,             0.33538,             0.10318,            0.066463,            0.034814,           0.0086281,            0.006832,            0.006832,            0.006832
                  18,            0.068435,            0.030426,           0.0098952,             0.17263,             0.55005,             0.24904,            0.055175,            0.086497,            0.039189,           0.0083839,            0.006634,            0.006634,            0.006634
                  19,            0.074592,            0.029602,            0.010182,             0.90158,             0.22043,             0.41766,             0.17784,            0.075128,            0.028827,           0.0081992,            0.006436,            0.006436,            0.006436
                  20,            0.067538,            0.028643,           0.0093809,             0.30948,             0.65236,             0.47858,             0.25384,            0.070724,            0.027579,           0.0080962,            0.006238,            0.006238,            0.006238
                  21,            0.060841,            0.030771,           0.0090316,             0.46236,             0.63415,             0.53952,             0.26376,            0.058833,            0.027965,           0.0076968,             0.00604,             0.00604,             0.00604
                  22,            0.057364,            0.031192,            0.009619,             0.41832,             0.63897,             0.49206,              0.2058,            0.056884,             0.02874,           0.0075645,            0.005842,            0.005842,            0.005842
                  23,            0.055663,            0.029938,           0.0090265,             0.50443,             0.62743,             0.42931,             0.18257,            0.060162,            0.028644,           0.0074452,            0.005644,            0.005644,            0.005644
                  24,            0.060219,            0.028738,           0.0086078,             0.47251,             0.65005,             0.51957,             0.17887,            0.062517,            0.027246,            0.007273,            0.005446,            0.005446,            0.005446
                  25,            0.058917,            0.027976,           0.0088777,             0.44262,             0.68715,             0.56364,             0.26171,            0.057317,            0.026672,           0.0074128,            0.005248,            0.005248,            0.005248
                  26,            0.056938,            0.029575,            0.008691,              0.4721,             0.63012,             0.42337,             0.18376,            0.060065,            0.028562,           0.0074026,             0.00505,             0.00505,             0.00505
                  27,            0.050603,            0.029776,           0.0094324,             0.52372,             0.65812,             0.62993,             0.26241,            0.052071,            0.027884,           0.0074309,            0.004852,            0.004852,            0.004852
                  28,            0.051934,            0.030131,           0.0087992,             0.51854,              0.6701,             0.64058,             0.39295,            0.041668,            0.025176,           0.0073933,            0.004654,            0.004654,            0.004654
                  29,            0.041182,            0.028932,            0.008911,             0.50594,              0.7156,             0.68758,             0.33064,            0.043693,            0.027409,           0.0072074,            0.004456,            0.004456,            0.004456
                  30,            0.045804,            0.027747,           0.0082775,             0.45977,             0.74772,             0.62317,             0.33963,            0.046306,            0.025701,           0.0070953,            0.004258,            0.004258,            0.004258
                  31,            0.039876,            0.027859,           0.0076779,             0.47682,             0.78292,             0.71015,             0.42348,            0.040211,            0.023775,           0.0066619,             0.00406,             0.00406,             0.00406
                  32,            0.044566,            0.027382,           0.0088895,             0.58707,             0.71803,             0.72741,             0.38532,            0.044402,            0.024941,           0.0065543,            0.003862,            0.003862,            0.003862
                  33,            0.037607,            0.027728,            0.007973,             0.64888,             0.75789,             0.74805,             0.40337,            0.038674,            0.024245,           0.0064058,            0.003664,            0.003664,            0.003664
                  34,             0.04317,            0.026861,           0.0070708,             0.50242,             0.77783,             0.67868,             0.42483,            0.043655,            0.023631,           0.0062014,            0.003466,            0.003466,            0.003466
                  35,            0.037485,            0.026398,           0.0075269,             0.63991,              0.8146,             0.75331,              0.4196,            0.041579,            0.022861,            0.006049,            0.003268,            0.003268,            0.003268
                  36,            0.040041,            0.025734,           0.0076103,             0.58421,             0.83736,             0.75422,             0.49654,            0.033308,            0.022424,           0.0059872,             0.00307,             0.00307,             0.00307
                  37,            0.032123,            0.024601,           0.0073303,             0.71245,             0.79518,             0.79022,             0.50852,             0.03165,            0.021837,           0.0057826,            0.002872,            0.002872,            0.002872
                  38,            0.032863,            0.025119,           0.0073773,             0.66101,             0.80448,             0.80057,             0.56288,            0.030445,            0.021362,           0.0056973,            0.002674,            0.002674,            0.002674
                  39,            0.028982,            0.025409,           0.0070182,              0.6797,             0.85912,             0.81798,             0.56744,            0.028344,            0.020865,           0.0055512,            0.002476,            0.002476,            0.002476
                  40,            0.031374,            0.024589,            0.006886,             0.77912,             0.78478,             0.82709,             0.59655,            0.028206,             0.02089,           0.0054526,            0.002278,            0.002278,            0.002278
                  41,            0.028243,            0.023551,           0.0062614,              0.8237,             0.77391,              0.8369,             0.59326,            0.026952,            0.020364,             0.00529,             0.00208,             0.00208,             0.00208
                  42,             0.02947,            0.023908,           0.0069413,             0.79169,             0.78566,             0.83178,             0.60067,            0.027394,            0.020312,           0.0052123,            0.001882,            0.001882,            0.001882
                  43,            0.028565,            0.023586,           0.0063569,             0.80558,             0.79518,             0.84521,             0.60928,            0.025842,            0.020126,           0.0051541,            0.001684,            0.001684,            0.001684
                  44,            0.028217,            0.023048,           0.0062382,             0.77748,             0.83617,             0.85536,             0.62607,            0.024908,            0.020038,           0.0051071,            0.001486,            0.001486,            0.001486
                  45,            0.027982,             0.02354,           0.0061359,             0.80248,             0.83774,             0.86182,             0.64682,            0.023409,            0.019411,           0.0050523,            0.001288,            0.001288,            0.001288
                  46,            0.026079,            0.022756,           0.0058412,             0.82364,             0.83774,             0.86673,             0.64627,            0.023277,            0.019365,            0.005007,             0.00109,             0.00109,             0.00109
                  47,            0.026252,            0.023849,           0.0060651,             0.83935,             0.83532,             0.87012,             0.64636,            0.022853,            0.019154,           0.0049434,            0.000892,            0.000892,            0.000892
                  48,            0.025505,            0.022104,           0.0064718,             0.80802,              0.8551,             0.87179,               0.643,            0.022496,            0.018987,            0.004927,            0.000694,            0.000694,            0.000694
                  49,             0.02588,            0.023237,           0.0074111,             0.81168,             0.85901,             0.87047,             0.65483,            0.022262,            0.018929,           0.0048813,            0.000496,            0.000496,            0.000496
